n,N,phylometric,statistic,p,quality,epoch,mut_distn
50,7,quartet_distance,65.93556630036619,2.778141406820147e-12,1% resolution,0,np.random.exponential
50,7,quartet_distance,117.93292503052521,4.426885939536874e-23,10% resolution,0,np.random.exponential
50,7,quartet_distance,52.91400439560425,1.2210174512398157e-09,3% resolution,0,np.random.exponential
50,7,quartet_distance,115.72124835164846,1.2888289018380268e-22,33% resolution,0,np.random.exponential
50,7,quartet_distance,38.789497435897374,7.870770259134266e-07,1% resolution,0,np.random.standard_normal
50,7,quartet_distance,88.34049719169707,6.698730980178156e-17,10% resolution,0,np.random.standard_normal
50,7,quartet_distance,38.149798290598255,1.0500974929537594e-06,3% resolution,0,np.random.standard_normal
50,7,quartet_distance,120.2027643467643,1.4773716218562115e-23,33% resolution,0,np.random.standard_normal
50,7,quartet_distance,107.74271062271055,6.050249062560348e-21,1% resolution,2,np.random.exponential
50,7,quartet_distance,147.54797557997563,2.552189708112316e-29,10% resolution,2,np.random.exponential
50,7,quartet_distance,70.23442832722844,3.660319257589615e-13,3% resolution,2,np.random.exponential
50,7,quartet_distance,194.43400048840022,2.9012262667888492e-39,33% resolution,2,np.random.exponential
50,7,quartet_distance,96.98896019536028,1.065063929831718e-18,1% resolution,2,np.random.standard_normal
50,7,quartet_distance,102.78477753357765,6.580118842694302e-20,10% resolution,2,np.random.standard_normal
50,7,quartet_distance,50.74469352869369,3.332892857192771e-09,3% resolution,2,np.random.standard_normal
50,7,quartet_distance,161.91563565323577,2.3263865526015013e-32,33% resolution,2,np.random.standard_normal
50,7,quartet_distance,63.672302808302675,8.050303019123108e-12,1% resolution,7,np.random.exponential
50,7,quartet_distance,95.97084444444431,1.735723660297524e-18,10% resolution,7,np.random.exponential
50,7,quartet_distance,38.62639902319893,8.471531632118808e-07,3% resolution,7,np.random.exponential
50,7,quartet_distance,171.43860512820493,2.227610248382613e-34,33% resolution,7,np.random.exponential
50,7,quartet_distance,83.14988229548226,7.975356755011296e-16,1% resolution,7,np.random.standard_normal
50,7,quartet_distance,139.95126935286953,1.0262254227010028e-27,10% resolution,7,np.random.standard_normal
50,7,quartet_distance,45.43054847374833,3.8430812080812616e-08,3% resolution,7,np.random.standard_normal
50,7,quartet_distance,178.3534456654454,7.590207763912434e-36,33% resolution,7,np.random.standard_normal
50,7,triplet_distance,65.05051037851035,4.212710048929843e-12,1% resolution,0,np.random.exponential
50,7,triplet_distance,125.22499438339423,1.2998707659411192e-24,10% resolution,0,np.random.exponential
50,7,triplet_distance,60.08189499389505,4.3318429983592146e-11,3% resolution,0,np.random.exponential
50,7,triplet_distance,77.06523272283266,1.4409743904455206e-14,33% resolution,0,np.random.exponential
50,7,triplet_distance,38.7933186813184,7.857214967772178e-07,1% resolution,0,np.random.standard_normal
50,7,triplet_distance,93.79757167277148,4.919538564490169e-18,10% resolution,0,np.random.standard_normal
50,7,triplet_distance,39.04988913308921,6.998226471410047e-07,3% resolution,0,np.random.standard_normal
50,7,triplet_distance,57.02958730158707,1.8018981162602906e-10,33% resolution,0,np.random.standard_normal
50,7,triplet_distance,107.76035164835162,5.9990450071640534e-21,1% resolution,2,np.random.exponential
50,7,triplet_distance,122.68244395604393,4.4512105719062216e-24,10% resolution,2,np.random.exponential
50,7,triplet_distance,63.883897435897325,7.28880836629943e-12,3% resolution,2,np.random.exponential
50,7,triplet_distance,122.46991550671555,4.933403805938994e-24,33% resolution,2,np.random.exponential
50,7,triplet_distance,88.77935824175825,5.431281121975844e-17,1% resolution,2,np.random.standard_normal
50,7,triplet_distance,112.39306862026842,6.426838894270088e-22,10% resolution,2,np.random.standard_normal
50,7,triplet_distance,47.078368742368866,1.8049824615952433e-08,3% resolution,2,np.random.standard_normal
50,7,triplet_distance,101.31699340659338,1.3326333085157124e-19,33% resolution,2,np.random.standard_normal
50,7,triplet_distance,63.5612717948718,8.4811338878685e-12,1% resolution,7,np.random.exponential
50,7,triplet_distance,101.18588717948705,1.4193108390120854e-19,10% resolution,7,np.random.exponential
50,7,triplet_distance,39.763793894993796,5.068816766548348e-07,3% resolution,7,np.random.exponential
50,7,triplet_distance,134.86405079365068,1.2140176167431311e-26,33% resolution,7,np.random.exponential
50,7,triplet_distance,83.32480390720389,7.337496155382785e-16,1% resolution,7,np.random.standard_normal
50,7,triplet_distance,136.2934153846154,6.065473786179155e-27,10% resolution,7,np.random.standard_normal
50,7,triplet_distance,44.40904517704507,6.13224450123164e-08,3% resolution,7,np.random.standard_normal
50,7,triplet_distance,114.5295277167279,2.2916006964936045e-22,33% resolution,7,np.random.standard_normal
